ResearchInstitution,GrantCount,TotalFunding,index,Institute,InstituteCountry,InstituteNumber,City,Latitude,Longitude
Berne University of Applied Sciences - BFH,258,66123712.0,411,Eidgenössische Hochschule für Sport Magglingen (EHSM),Switzerland,I412,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1102,Fachstelle Forschung Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I1103,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1577,Berner Fachhochschule BFH Bern,Switzerland,I1578,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1835,Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I1836,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2027,Fachbereich Gesundheit Berner Fachhochschule,Switzerland,I2028,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2028,Departement Soziale Arbeit Berner Fachhochschule,Switzerland,I2029,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2074,Institut Interpretation Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I2075,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2093,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH",Switzerland,I2094,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2337,Institut für Transdisziplinarität Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I2338,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2682,Wirtschaft Gesundheit und Soziales Berner Fachhochschule Gesundheit,Switzerland,I2683,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2936,Visuelle Kommunikation Hochschule der Künste Berner Fachhochschule,Switzerland,I2937,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3057,Institut Innovation & Strategic Entrepreneurship Berner Fachhochschule,Switzerland,I3058,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3199,Fachbereich Sportpsychologie Leistungssport Eidg. Hochschule für Sport Magglingen,Switzerland,I3200,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3526,Forschungsschwerpunkt Kommunikationsdesign Y (Institut für Transdisziplinarität) Hochschule der Künste Bern HKB,Switzerland,I3527,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3798,"Berner Fachhochschule Dep. Architektur, Holz und Bau",Switzerland,I3799,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3806,Institut littéraire suisse Haute Ecole des Arts de Berne Haute école spécialisée bernoise,Switzerland,I3807,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3868,Berner Fachhochschule Institut für Medizininformatik,Switzerland,I3869,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3896,Departement Wirtschaft Berner Fachhochschule BFH,Switzerland,I3897,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3989,Institut Y Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I3990,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4210,Ingenieurschule Burgdorf,Switzerland,I4211,Bern,46.9481,7.4474
