GrantNumber,Language,Sentence,RAKE_Keywords
G25698,en,Chromosome and plasmid replication in E,"plasmid replication, chromosome"
G25698,en,coli and in yeast,"yeast, coli"
G66871,en,Reaction mechanisms in coordination and bioinorganic chemistry,"reaction mechanisms, bioinorganic chemistry, coordination"
G66871,fr,Magnetic resonance and high pressure techniques,magnetic resonance and high pressure techniques
G57401,en,Ecology and Control of Montane Grassland Weeds,"montane grassland weeds, ecology, control"
G57401,en,International short research visits,international short research visits
G57401,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G201269,en,The expression and function of IL-18 and its natural inhibitor in macrophage-activation syndrome,"natural inhibitor, activation syndrome, macrophage"
G169640,en,Pressure on obstacles induced by granular snow avalanches,"granular snow avalanches, obstacles induced, pressure"
G185138,en,Copper-catalyzed methylative difunctionalization of alkenes,"catalyzed methylative difunctionalization, copper, alkenes"
G46819,en,Preferential Recognition of RNA over DNA by Synthetic Oligonucleotide Analogs and Aminoglycosides,"synthetic oligonucleotide analogs, preferential recognition, rna"
G54018,en,Speaker verification based on user-customized password,"speaker verification based, customized password, user"
G194429,en,Conformal invariance and universality of dimer model,"dimer model, conformal invariance, universality"
G194429,en,Institution abroad - United States of America,"united states, institution abroad, america"
G194429,en,United States of America,"united states, america"
G42971,de,"Risiko 'alleinerziehend'? Lebenslage, soziale Unterstützung und Gesundheit bei Frauen: Ergebnisse einer Längsschnittstudie im internationalen Vergleich","alleinerziehend '? lebenslage, soziale unterstützung, internationalen vergleich"
G42971,en,Fellowships for advanced researchers,"advanced researchers, fellowships"
G114750,de,Von der Präsentation zum Wissen,"wissen, präsentation"
G114750,de,Athanasius Kircher und die Sichtbarmachung der Welt,"athanasius kircher, welt, sichtbarmachung"
G114750,en,General history (without pre-and early history),"without pre, general history, early history"
G25287,en,Real-time kinetic models of chemotactic motion and product release in human neutrophils,"time kinetic models, product release, human neutrophils"
G119186,en,"Defining vitamin B1 and B6 metabolism in plants: synthesis, regulation and transport","defining vitamin b1, b6 metabolism, transport"
G181910,da,Data-driven design of orthogonal GPCR peptide-ligands,
G181910,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G181910,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G178697,en,Tracking macrostructural sleep behaviors in infancy using high density electroencephalography (hdEEG) and actigraphy,"infancy using high density electroencephalography, tracking macrostructural sleep behaviors, hdeeg"
G170775,en,Attosecond coincidence spectroscopy of liquids and gases,"attosecond coincidence spectroscopy, liquids, gases"
G6672,en,Studies of the lac repressor and the analysis of mutations and transposons at the molecular level,"molecular level, lac repressor, transposons"
G146119,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G3456,fr,Etude de solides par faisceaux ioniques et par des méthodes magnétiques et optiques,"méthodes magnétiques, faisceaux ioniques, solides"
G46861,en,"The mechanism of sperm competition in the yellow dung fly Scathophaga stercoraria: integration morphology, biochemistry andbehaviour","yellow dung fly scathophaga stercoraria, sperm competition, integration morphology"
G122157,en,Different levels of regulation of cell growth and cell wall formation in Arabidopsis: The plant TOR pathway and flavonols modulate cell development,"flavonols modulate cell development, plant tor pathway, cell wall formation"
G189882,en,Future evolution of meta-stable rock slopes in hydropower systems of China: Implications for long-term safety,"stable rock slopes, term safety, hydropower systems"
G121980,en,The molecular mechanisms of ceramide action in apoptosis,"molecular mechanisms, ceramide action, apoptosis"
G202259,de,"Gott, Gaia und eine neue Gesellschaft","neue gesellschaft, gott, gaia"
G202259,de,Theologie anders denken mit Bruno Latour,"bruno latour, theologie, denken"
G124948,it,Cell-cell communication during development,"cell communication during development, cell"
G194146,en,A 19-isolate reference-quality global pangenome for the fungal wheat pathogen Zymoseptoria tritici,"fungal wheat pathogen zymoseptoria tritici, quality global pangenome, isolate reference"
G2108,de,Anschlussforschungen über einheimische Kulturen des Sepik- Gebietes (Papua New Guinea),"papua new guinea, einheimische kulturen, sepik"
G100599,fr,L'Europe du 3ème millénaire avant notre ère: des faits archéologiques à l'interprétation du peuplement,"3ème millénaire avant, faits archéologiques, ère"
G179125,en,Molecular evolution and ecology of Foraminifera and related protists,"related protists, molecular evolution, foraminifera"
G140183,it,X-ray transparent controlled-condition experimental cell,"ray transparent controlled, condition experimental cell"
G140183,en,International short research visits,international short research visits
